item_id,transaction_id,product_id,product_name,category,price
1,1,13,Croissant,Pastry,3.0
2,1,17,Bagel & Cream Cheese,Food,5.5
3,1,2,Americano,Coffee,3.0
4,2,3,Cappuccino,Coffee,4.0
5,3,16,Avocado Toast,Food,8.5
6,4,5,Flat White,Coffee,4.0
7,4,5,Flat White,Coffee,4.0
8,5,4,Latte,Coffee,4.5
9,6,15,Banana Bread,Pastry,3.5
10,6,20,Caesar Salad,Food,8.0
11,7,5,Flat White,Coffee,4.0
12,8,3,Cappuccino,Coffee,4.0
13,8,14,Blueberry Muffin,Pastry,3.25
14,9,16,Avocado Toast,Food,8.5
15,9,15,Banana Bread,Pastry,3.5
16,9,3,Cappuccino,Coffee,4.0
17,10,17,Bagel & Cream Cheese,Food,5.5
18,10,4,Latte,Coffee,4.5
19,10,13,Croissant,Pastry,3.0
20,11,9,Chai Latte,Tea,4.0
21,11,14,Blueberry Muffin,Pastry,3.25
22,12,15,Banana Bread,Pastry,3.5
23,13,5,Flat White,Coffee,4.0
24,13,11,Fresh OJ,Cold Drink,3.5
25,14,13,Croissant,Pastry,3.0
26,14,9,Chai Latte,Tea,4.0
27,15,17,Bagel & Cream Cheese,Food,5.5
28,15,4,Latte,Coffee,4.5
29,15,8,Green Tea,Tea,2.75
30,15,3,Cappuccino,Coffee,4.0
31,15,18,Granola Bowl,Food,7.0
32,16,19,Club Sandwich,Food,9.0
33,17,17,Bagel & Cream Cheese,Food,5.5
34,17,16,Avocado Toast,Food,8.5
35,17,4,Latte,Coffee,4.5
36,18,15,Banana Bread,Pastry,3.5
37,19,17,Bagel & Cream Cheese,Food,5.5
38,20,6,Mocha,Coffee,4.75
39,20,13,Croissant,Pastry,3.0
40,21,4,Latte,Coffee,4.5
41,21,3,Cappuccino,Coffee,4.0
42,22,1,Espresso,Coffee,2.5
43,22,4,Latte,Coffee,4.5
44,22,13,Croissant,Pastry,3.0
45,23,6,Mocha,Coffee,4.75
46,24,1,Espresso,Coffee,2.5
47,24,13,Croissant,Pastry,3.0
48,24,13,Croissant,Pastry,3.0
49,25,4,Latte,Coffee,4.5
50,25,4,Latte,Coffee,4.5
51,26,20,Caesar Salad,Food,8.0
52,26,18,Granola Bowl,Food,7.0
53,26,16,Avocado Toast,Food,8.5
54,27,5,Flat White,Coffee,4.0
55,28,10,Herbal Infusion,Tea,2.75
56,28,14,Blueberry Muffin,Pastry,3.25
57,28,3,Cappuccino,Coffee,4.0
58,28,4,Latte,Coffee,4.5
59,29,7,Cold Brew,Coffee,4.5
60,30,1,Espresso,Coffee,2.5
61,31,1,Espresso,Coffee,2.5
62,31,1,Espresso,Coffee,2.5
63,32,4,Latte,Coffee,4.5
64,32,4,Latte,Coffee,4.5
65,33,1,Espresso,Coffee,2.5
66,33,12,Smoothie,Cold Drink,5.0
67,33,10,Herbal Infusion,Tea,2.75
68,34,1,Espresso,Coffee,2.5
69,35,16,Avocado Toast,Food,8.5
70,35,9,Chai Latte,Tea,4.0
71,35,13,Croissant,Pastry,3.0
72,35,10,Herbal Infusion,Tea,2.75
73,35,19,Club Sandwich,Food,9.0
74,36,12,Smoothie,Cold Drink,5.0
75,37,16,Avocado Toast,Food,8.5
76,37,2,Americano,Coffee,3.0
77,37,6,Mocha,Coffee,4.75
78,37,4,Latte,Coffee,4.5
79,38,14,Blueberry Muffin,Pastry,3.25
80,39,1,Espresso,Coffee,2.5
81,40,19,Club Sandwich,Food,9.0
82,41,17,Bagel & Cream Cheese,Food,5.5
83,41,6,Mocha,Coffee,4.75
84,41,12,Smoothie,Cold Drink,5.0
85,42,1,Espresso,Coffee,2.5
86,42,14,Blueberry Muffin,Pastry,3.25
87,42,5,Flat White,Coffee,4.0
88,43,17,Bagel & Cream Cheese,Food,5.5
89,43,3,Cappuccino,Coffee,4.0
90,43,16,Avocado Toast,Food,8.5
91,43,7,Cold Brew,Coffee,4.5
