transaction_id,timestamp,day_of_week,is_weekend,hour,total_amount,num_items,payment_method
1,2024-02-27 08:17:15,Tuesday,1,8,11.5,3,Card
2,2024-02-17 09:32:38,Saturday,0,9,4.0,1,Cash
3,2024-08-02 10:37:17,Friday,1,10,8.5,1,Cash
4,2024-05-22 10:48:21,Wednesday,1,10,8.0,2,Card
5,2024-08-23 12:59:24,Friday,0,12,4.5,1,Cash
6,2024-10-22 08:04:02,Tuesday,0,8,11.5,2,Mobile Pay
7,2024-07-13 09:40:53,Saturday,0,9,4.0,1,Card
8,2024-12-25 17:41:04,Wednesday,0,17,7.25,2,Card
9,2024-05-18 20:40:44,Saturday,1,20,16.0,3,Card
10,2024-07-24 09:13:58,Wednesday,0,9,13.0,3,Card
11,2024-08-22 08:08:15,Thursday,0,8,7.25,2,Card
12,2024-07-23 10:08:32,Tuesday,0,10,3.5,1,Mobile Pay
13,2024-11-17 08:43:27,Sunday,0,8,7.5,2,Card
14,2024-10-10 16:00:43,Thursday,0,16,7.0,2,Card
15,2024-06-23 10:27:10,Sunday,1,10,23.75,5,Mobile Pay
16,2024-11-23 13:12:09,Saturday,1,13,9.0,1,Mobile Pay
17,2024-11-02 09:01:07,Saturday,0,9,18.5,3,Card
18,2024-02-10 08:31:52,Saturday,0,8,3.5,1,Cash
19,2024-12-03 11:35:10,Tuesday,0,11,5.5,1,Card
20,2024-10-03 14:44:12,Thursday,0,14,7.75,2,Card
21,2024-08-19 10:14:04,Monday,1,10,8.5,2,Card
22,2024-01-31 09:57:02,Wednesday,0,9,10.0,3,Card
23,2024-10-19 12:15:50,Saturday,0,12,4.75,1,Card
24,2024-08-08 10:26:29,Thursday,0,10,8.5,3,Card
25,2024-02-25 11:12:34,Sunday,1,11,9.0,2,Mobile Pay
26,2024-10-08 08:41:34,Tuesday,0,8,23.5,3,Card
27,2024-09-03 09:25:57,Tuesday,0,9,4.0,1,Mobile Pay
28,2024-08-20 09:44:46,Tuesday,0,9,14.5,4,Mobile Pay
29,2024-10-04 07:20:03,Friday,0,7,4.5,1,Mobile Pay
30,2024-03-21 09:32:05,Thursday,1,9,2.5,1,Mobile Pay
31,2024-03-02 17:36:15,Saturday,0,17,5.0,2,Cash
32,2024-09-24 09:16:13,Tuesday,0,9,9.0,2,Card
33,2024-06-02 11:59:48,Sunday,0,11,10.25,3,Card
34,2024-04-19 11:08:59,Friday,0,11,2.5,1,Card
35,2024-03-21 12:34:45,Thursday,1,12,27.25,5,Card
36,2024-05-15 10:06:47,Wednesday,1,10,5.0,1,Cash
37,2024-12-17 14:16:32,Tuesday,1,14,20.75,4,Card
38,2024-11-22 19:10:47,Friday,0,19,3.25,1,Card
39,2024-02-08 17:44:57,Thursday,0,17,2.5,1,Card
40,2024-03-16 10:02:19,Saturday,0,10,9.0,1,Mobile Pay
41,2024-07-02 10:15:42,Tuesday,1,10,15.25,3,Card
42,2024-03-24 18:51:11,Sunday,0,18,9.75,3,Mobile Pay
43,2024-05-07 11:50:44,Tuesday,1,11,22.5,4,Card
44,2024-04-24 07:12:25,Wednesday,0,7,5.5,1,Mobile Pay
45,2024-06-28 13:25:43,Friday,0,13,24.0,4,Card
46,2024-01-20 08:27:22,Saturday,0,8,9.5,2,Card
47,2024-10-22 08:02:45,Tuesday,0,8,4.0,1,Cash
48,2024-12-09 09:27:04,Monday,0,9,15.0,3,Card
49,2024-09-16 11:26:20,Monday,1,11,3.0,1,Card
50,2024-12-12 15:11:39,Thursday,1,15,13.0,2,Card
51,2024-11-06 13:29:28,Wednesday,0,13,4.0,1,Card
52,2024-12-03 08:32:42,Tuesday,0,8,12.5,2,Cash
53,2024-06-07 09:12:09,Friday,0,9,4.5,1,Card
54,2024-08-21 10:40:36,Wednesday,0,10,3.0,1,Card
55,2024-03-16 14:00:57,Saturday,1,14,11.75,3,Mobile Pay
56,2024-08-25 09:15:58,Sunday,1,9,11.5,2,Mobile Pay
57,2024-06-11 17:57:28,Tuesday,0,17,6.0,2,Cash
58,2024-08-16 16:47:55,Friday,0,16,4.5,1,Card
59,2024-05-21 14:33:31,Tuesday,0,14,7.0,2,Card
60,2024-06-20 11:34:05,Thursday,1,11,3.0,1,Cash
61,2024-07-31 10:34:29,Wednesday,0,10,4.0,1,Card
62,2024-12-22 08:56:48,Sunday,1,8,13.5,2,Card
63,2024-10-02 14:34:51,Wednesday,0,14,8.0,2,Card
64,2024-07-18 10:43:51,Thursday,0,10,4.0,1,Card
65,2024-11-14 12:58:25,Thursday,0,12,6.0,2,Card
66,2024-04-03 09:24:20,Wednesday,1,9,3.5,1,Card
67,2024-05-09 16:30:01,Thursday,1,16,9.0,1,Card
68,2024-11-29 07:01:15,Friday,0,7,2.5,1,Card
69,2024-08-30 13:36:13,Friday,0,13,4.5,1,Card
70,2024-11-06 18:45:07,Wednesday,0,18,8.5,2,Card
71,2024-10-21 14:24:25,Monday,1,14,3.5,1,Cash
72,2024-02-22 14:19:54,Thursday,1,14,8.75,3,Card
73,2024-07-08 07:41:21,Monday,0,7,4.75,1,Card
74,2024-07-04 13:53:29,Thursday,0,13,7.75,2,Mobile Pay
75,2024-11-11 16:34:49,Monday,1,16,7.75,2,Mobile Pay
76,2024-05-22 16:15:48,Wednesday,0,16,5.0,1,Card
77,2024-09-10 15:11:31,Tuesday,0,15,3.5,1,Card
78,2024-12-25 16:35:00,Wednesday,0,16,8.5,2,Card
79,2024-05-03 13:41:45,Friday,0,13,3.5,1,Card
80,2024-07-26 13:19:42,Friday,0,13,8.5,2,Card
81,2024-06-18 10:29:17,Tuesday,0,10,4.5,1,Cash
82,2024-03-02 14:48:44,Saturday,0,14,4.0,1,Card
83,2024-09-25 12:06:53,Wednesday,0,12,4.0,1,Card
84,2024-12-28 12:17:02,Saturday,0,12,14.25,4,Card
85,2024-10-20 11:30:28,Sunday,1,11,18.25,5,Card
86,2024-01-28 08:51:36,Sunday,0,8,10.25,3,Card
87,2024-11-12 09:33:24,Tuesday,0,9,4.5,1,Mobile Pay
88,2024-06-05 12:03:39,Wednesday,0,12,16.0,4,Card
89,2024-03-29 12:10:00,Friday,0,12,3.0,1,Card
90,2024-04-28 09:18:44,Sunday,0,9,11.5,3,Cash
91,2024-12-04 15:12:27,Wednesday,0,15,4.0,1,Card
92,2024-03-13 08:10:50,Wednesday,0,8,3.25,1,Card
93,2024-08-12 08:44:19,Monday,0,8,11.75,2,Card
94,2024-11-02 09:27:47,Saturday,1,9,3.0,1,Mobile Pay
95,2024-10-27 17:48:43,Sunday,0,17,11.0,3,Card
96,2024-05-22 08:37:27,Wednesday,0,8,5.75,2,Card
97,2024-06-13 13:54:10,Thursday,0,13,3.0,1,Card
98,2024-10-08 07:05:20,Tuesday,0,7,3.0,1,Cash
99,2024-01-01 13:34:29,Monday,0,13,4.0,1,Card
100,2024-11-16 11:03:13,Saturday,0,11,3.0,1,Card
101,2024-09-05 08:40:38,Thursday,0,8,7.75,2,Card
102,2024-02-17 10:53:58,Saturday,1,10,20.5,4,Cash
103,2024-09-04 19:15:29,Wednesday,0,19,11.0,2,Card
104,2024-02-05 11:50:54,Monday,1,11,20.25,4,Card
105,2024-09-07 16:28:34,Saturday,0,16,4.0,1,Cash
106,2024-08-21 17:55:12,Wednesday,0,17,18.75,4,Card
107,2024-12-27 17:24:24,Friday,0,17,19.5,4,Card
108,2024-06-18 16:55:54,Tuesday,0,16,4.0,1,Card
109,2024-07-28 16:09:04,Sunday,0,16,8.0,1,Card
110,2024-07-22 13:54:21,Monday,0,13,14.0,3,Cash
111,2024-10-04 07:04:15,Friday,0,7,15.0,2,Cash
112,2024-02-20 15:45:55,Tuesday,1,15,4.5,1,Card
113,2024-01-29 11:23:27,Monday,1,11,6.25,2,Card
114,2024-11-08 17:39:43,Friday,1,17,16.5,4,Card
115,2024-05-27 13:10:04,Monday,0,13,4.0,1,Card
116,2024-08-05 14:29:54,Monday,1,14,21.0,5,Cash
